file,bytes_mb,width,height,megapixels,format,display_width,referenced_by_count,sha256_16,ai_generated,orphan,creator_TODO,source_url_TODO,license_TODO,status
AEC-Architecture/Planning/201-203_img/core_image.jpg,42.92,7950,11746,93.38,JPEG,60%,2,d439ee8410f485ee,,,,,,unreviewed
AEC-Architecture/MEP/101-102_img/101-4.png,9.49,2656,1600,4.25,PNG,66%,2,105808e667281ec6,,,,,,unreviewed
AEC-Architecture/Materials/assets/images/insulation_eps.png,8.89,2816,1536,4.33,PNG,70%,2,79d22e82351bdeeb,,,,,,unreviewed
AEC-Architecture/MEP/101-102_img/102-1-eng.png,8.87,2656,1600,4.25,PNG,66%,1,60f52a144b501959,,,,,,unreviewed
AEC-Architecture/MEP/201_img/globe.png,8.75,2816,1536,4.33,PNG,?,2,30733ad3c3aea3d0,,,,,,unreviewed
AEC-Architecture/MEP/201_img/gate.png,8.72,2816,1536,4.33,PNG,?,2,2688a2b87642ff5b,,,,,,unreviewed
AEC-Architecture/Materials/assets/images/insulation_rigid_polyurethane.png,8.68,2816,1536,4.33,PNG,70%,2,7db9a5e65d7ca0f5,,,,,,unreviewed
AEC-Architecture/MEP/201_img/check.png,8.56,2816,1536,4.33,PNG,?,2,b06a2fbb4b2f61ad,,,,,,unreviewed
AEC-Architecture/Materials/assets/images/finish_iso.png,8.17,2048,2048,4.19,PNG,80%,2,97a931c4a62a90ad,,,,,,unreviewed
AEC-Architecture/MEP/201_img/cock.png,8.13,2816,1536,4.33,PNG,?,2,05dc27feabaace5c,,,,,,unreviewed
AEC-Architecture/Materials/assets/images/insulation_glass_wool.png,7.95,2816,1536,4.33,PNG,70%,2,3b422f811339a806,,,,,,unreviewed
AEC-Architecture/Materials/assets/images/facade_iso_stone.png,7.87,2816,1536,4.33,PNG,100%,2,9346e8b72f6524bb,,,,,,unreviewed
AEC-Architecture/MEP/201_img/flush.png,7.85,2816,1536,4.33,PNG,?,2,4119e294c08646db,,,,,,unreviewed
AEC-Architecture/MEP/201_img/butterfly.png,7.85,2816,1536,4.33,PNG,?,2,ec56606eb8ea88e9,,,,,,unreviewed
AEC-Architecture/MEP/201_img/float.png,7.75,2816,1536,4.33,PNG,?,2,65fc423c0e3827c8,,,,,,unreviewed
AEC-Architecture/Materials/assets/images/facade_iso_brick.png,7.63,2816,1536,4.33,PNG,100%,2,bdcc2aae1ef65658,,,,,,unreviewed
AEC-Architecture/MEP/201_img/floor.png,7.39,2816,1536,4.33,PNG,?,2,4c42b5800ea0b169,,,,,,unreviewed
AEC-Architecture/MEP/201_img/Multi.png,7.38,2816,1536,4.33,PNG,?,2,252f8534553ca631,,,,,,unreviewed
AEC-Architecture/Materials/assets/images/insulation_pf_board.png,7.26,2816,1536,4.33,PNG,70%,2,ce1371beeb034e26,,,,,,unreviewed
AEC-Architecture/MEP/201_img/insulation.png,7.23,2816,1536,4.33,PNG,?,2,6fd404d6d68b1d6a,,,,,,unreviewed
AEC-Architecture/Construction/401_img/finishing_window_steps_02.png,7.20,1792,2400,4.30,PNG,80%,2,6e134a956f00d994,,,,,,unreviewed
AEC-Architecture/Construction/202_img/203_1.png,7.04,3488,1216,4.24,PNG,66%,2,23f5929dab852254,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/03_image1.png,7.04,2336,1824,4.26,PNG,70%,2,815ee137751fdbce,,,,,,unreviewed
AEC-Architecture/MEP/201_img/AHU.png,6.91,2816,1536,4.33,PNG,?,2,438b5de07377f09b,,,,,,unreviewed
AEC-Architecture/Materials/assets/images/facade_iso_glass.png,6.88,2816,1536,4.33,PNG,100%,2,f540a980ee1289bd,,,,,,unreviewed
AEC-Architecture/MEP/201_img/DD.png,6.84,2816,1536,4.33,PNG,?,2,22516dabce8a5538,,,,,,unreviewed
AEC-Architecture/Materials/assets/images/facade_iso_metal.png,6.61,2816,1536,4.33,PNG,100%,2,a8853cf1767f0bdc,,,,,,unreviewed
AEC-Architecture/MEP/201_img/induction.png,6.49,2816,1536,4.33,PNG,?,2,4919af6413233096,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/material_thermal_response.png,6.44,2816,1536,4.33,PNG,60%,2,ff46f7e85c7e1fa1,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/material_mep_integration.png,6.41,2816,1536,4.33,PNG,60%,2,bc9487c210f9daf1,,,,,,unreviewed
AEC-Architecture/MEP/201_img/RC.png,6.40,2816,1536,4.33,PNG,?,2,23fcefa037d7f187,,,,,,unreviewed
"AEC-Architecture/Construction/201_img/Generated Image February 09, 2026 - 1_53PM.jpeg",6.32,1056,1008,1.06,JPEG,66%,2,1253c11a032a0e45,YES,,,,,unreviewed
AEC-Architecture/MEP/201_img/FAU.png,6.31,2816,1536,4.33,PNG,?,2,53ecb8459c1331bb,,,,,,unreviewed
AEC-Architecture/MEP/201_img/CAV.png,6.05,2816,1536,4.33,PNG,?,2,474e7b531443d0be,,,,,,unreviewed
